,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,0,0.26,0.19053940160134852,0.0,100,"{""Business"": 4, ""Sports"": 3, ""Technology"": 2, ""World"": 91}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,amazon_counterfactual_en,0,0,0.57,0.40203031567236824,0.0,100,"{""counterfactual"": 37, ""not counterfactual"": 63}","{""counterfactual"": 10, ""not counterfactual"": 90}"
2,amazon_massive_scenario,0,0,0.46,0.32294369613210194,0.0,100,"{""alarm"": 4, ""audio"": 1, ""calendar"": 2, ""cooking"": 4, ""email"": 9, ""iot"": 40, ""music"": 5, ""news"": 8, ""play"": 10, ""qa"": 6, ""weather"": 11}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
3,app_reviews,0,0,0.2,0.1179843068875327,0.0,100,"{""five"": 3, ""four"": 38, ""one"": 59}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
4,beaver_tails,0,0,0.42,0.37794937794937794,0.0,100,"{""no"": 10, ""yes"": 90}","{""no"": 64, ""yes"": 36}"
5,boolq,0,0,0.58,0.40711462450592883,0.0,100,"{""no"": 4, ""yes"": 96}","{""no"": 42, ""yes"": 58}"
6,brag_action,0,0,0.15,0.14305877608629902,0.0,100,"{""bragging"": 88, ""not bragging"": 12}","{""bragging"": 3, ""not bragging"": 97}"
7,circa,0,0,0.69,0.40828402366863903,0.0,100,"{""yes"": 100}","{""no"": 31, ""yes"": 69}"
8,clickbait,0,0,0.69,0.6196785670469881,0.0,100,"{""no"": 16, ""yes"": 84}","{""no"": 41, ""yes"": 59}"
9,climate_commitments_actions,0,0,0.46,0.44920440636474906,0.0,100,"{""no"": 50, ""yes"": 50}","{""no"": 64, ""yes"": 36}"
10,climate_fever,0,0,0.35,0.16951386340128793,0.0,100,"{""not enough info"": 96, ""refuted"": 1, ""supported"": 3}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
11,climate_sentiment,0,0,0.37,0.18004866180048662,0.0,100,"{""risk"": 100}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
12,cola,0,0,0.68,0.40476190476190477,0.0,100,"{""acceptable"": 100}","{""acceptable"": 68, ""unacceptable"": 32}"
13,copa,0,0,0.52,0.34210526315789475,0.0,100,"{""cause"": 100}","{""cause"": 52, ""effect"": 48}"
14,covid_fake_news,0,0,0.57,0.5538956323270048,0.0,100,"{""fake"": 76, ""real"": 24}","{""fake"": 43, ""real"": 57}"
15,dbpedia_14,0,0,0.62,0.6242762256417719,0.0,100,"{""album"": 21, ""animal"": 4, ""artist"": 8, ""athlete"": 2, ""building"": 3, ""company"": 21, ""educational institution"": 5, ""film"": 11, ""natural place"": 5, ""office holder"": 3, ""plant"": 9, ""village"": 5, ""written work"": 3}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
16,disaster_response_message,0,0,0.61,0.45765540258656656,0.0,100,"{""false"": 31, ""true"": 69}","{""false"": 16, ""true"": 84}"
17,emo,0,0,0.03,0.015625,0.0,100,"{""happy"": 93, ""sad"": 7}","{""angry"": 5, ""happy"": 3, ""others"": 90, ""sad"": 2}"
18,emotion,0,0,0.28,0.2656746031746032,0.0,100,"{""anger"": 78, ""fear"": 3, ""joy"": 10, ""love"": 2, ""sadness"": 6, ""surprise"": 1}","{""anger"": 12, ""fear"": 12, ""joy"": 38, ""love"": 12, ""sadness"": 22, ""surprise"": 4}"
