,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,0,0.39,0.3602546326798819,0.0,100,"{""Business"": 11, ""Sports"": 10, ""Technology"": 3, ""World"": 76}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,amazon_counterfactual_en,0,0,0.55,0.4357366771159875,0.0,100,"{""counterfactual"": 45, ""not counterfactual"": 55}","{""counterfactual"": 10, ""not counterfactual"": 90}"
2,amazon_massive_scenario,0,0,0.55,0.41225206891873556,0.0,100,"{""alarm"": 5, ""audio"": 3, ""calendar"": 4, ""cooking"": 6, ""datetime"": 1, ""email"": 12, ""general"": 3, ""iot"": 10, ""music"": 4, ""news"": 18, ""play"": 12, ""qa"": 17, ""weather"": 5}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
3,app_reviews,0,0,0.53,0.22453463533719864,0.0,100,"{""five"": 54, ""four"": 3, ""one"": 43}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
4,beaver_tails,0,0,0.46,0.45454545454545453,0.0,100,"{""no"": 26, ""yes"": 74}","{""no"": 64, ""yes"": 36}"
5,boolq,0,0,0.56,0.46576007770762506,0.0,100,"{""no"": 16, ""yes"": 84}","{""no"": 42, ""yes"": 58}"
6,brag_action,0,0,0.07,0.06990699069906992,0.0,100,"{""bragging"": 96, ""not bragging"": 4}","{""bragging"": 3, ""not bragging"": 97}"
7,circa,0,0,0.68,0.40476190476190477,0.0,100,"{""no"": 1, ""yes"": 99}","{""no"": 31, ""yes"": 69}"
8,clickbait,0,0,0.61,0.4223078062509258,0.0,100,"{""no"": 2, ""yes"": 98}","{""no"": 41, ""yes"": 59}"
9,climate_commitments_actions,0,0,0.43,0.4294865378840957,0.0,100,"{""no"": 33, ""yes"": 67}","{""no"": 64, ""yes"": 36}"
10,climate_fever,0,0,0.34,0.17243867243867245,0.0,100,"{""not enough info"": 93, ""refuted"": 6, ""supported"": 1}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
11,climate_sentiment,0,0,0.39,0.20992693373645754,0.0,100,"{""neutral"": 2, ""risk"": 98}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
12,cola,0,0,0.32,0.24242424242424243,0.0,100,"{""unacceptable"": 100}","{""acceptable"": 68, ""unacceptable"": 32}"
13,copa,0,0,0.52,0.34210526315789475,0.0,100,"{""cause"": 100}","{""cause"": 52, ""effect"": 48}"
14,covid_fake_news,0,0,0.43,0.3006993006993007,0.0,100,"{""fake"": 100}","{""fake"": 43, ""real"": 57}"
15,dbpedia_14,0,0,0.48,0.47239065618856557,0.0,100,"{""album"": 8, ""animal"": 2, ""artist"": 13, ""athlete"": 3, ""building"": 2, ""company"": 19, ""educational institution"": 2, ""film"": 34, ""natural place"": 3, ""plant"": 8, ""village"": 5, ""written work"": 1}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
16,disaster_response_message,0,0,0.66,0.4476933073424301,0.0,100,"{""false"": 22, ""true"": 78}","{""false"": 16, ""true"": 84}"
17,emo,0,0,0.05,0.05626780626780627,0.0,100,"{""happy"": 75, ""sad"": 25}","{""angry"": 5, ""happy"": 3, ""others"": 90, ""sad"": 2}"
18,emotion,0,0,0.19,0.08924935046696159,0.0,100,"{""anger"": 89, ""joy"": 9, ""love"": 2}","{""anger"": 12, ""fear"": 12, ""joy"": 38, ""love"": 12, ""sadness"": 22, ""surprise"": 4}"
19,environmental_claims,0,0,0.26,0.22916666666666669,0.0,100,"{""no"": 4, ""yes"": 96}","{""no"": 76, ""yes"": 24}"
20,ethos,0,0,0.49,0.3869455463397043,0.0,100,"{""hate speech"": 93, ""no hate speech"": 7}","{""hate speech"": 48, ""no hate speech"": 52}"
21,fever,0,0,0.29,0.16997013304371436,0.0,100,"{""not enough info"": 99, ""refuted"": 1}","{""not enough info"": 28, ""refuted"": 28, ""supported"": 44}"
22,financial_phrasebank,0,0,0.21,0.2126267426039751,0.0,100,"{""negative"": 61, ""neutral"": 7, ""positive"": 32}","{""negative"": 13, ""neutral"": 60, ""positive"": 27}"
23,hate_speech18,0,0,0.32,0.2854140395124002,0.0,100,"{""hate"": 72, ""no hate"": 28}","{""hate"": 6, ""no hate"": 94}"
24,health_fact,0,0,0.24,0.11289355322338832,0.0,100,"{""false"": 91, ""true"": 2, ""unproven"": 7}","{""false"": 24, ""mixture"": 17, ""true"": 56, ""unproven"": 3}"
25,i2d2,0,0,0.59,0.42984285912946735,0.0,100,"{""false"": 8, ""true"": 92}","{""false"": 39, ""true"": 61}"
26,imdb,0,0,0.87,0.8693598633303186,0.0,100,"{""negative"": 54, ""positive"": 46}","{""negative"": 53, ""positive"": 47}"
27,insincere_questions,0,0,0.31,0.27146024707000316,0.0,100,"{""insincere question"": 72, ""valid question"": 28}","{""insincere question"": 5, ""valid question"": 95}"
28,is_humor,0,0,0.71,0.47377971330067137,0.0,100,"{""humorous"": 96, ""not humorous"": 4}","{""humorous"": 71, ""not humorous"": 29}"
29,jailbreak_classification,0,0,0.33,0.32939645681113006,0.0,100,"{""benign"": 51, ""jailbreak"": 49}","{""benign"": 52, ""jailbreak"": 48}"
30,lexical_rc_cogalexv,0,0,0.05,0.041462410828608014,0.0,100,"{""antonym"": 3, ""hypernym"": 71, ""synonym"": 22, ""unrelated"": 4}","{""antonym"": 11, ""hypernym"": 6, ""meronym"": 6, ""synonym"": 10, ""unrelated"": 67}"
31,lexical_rc_root09,0,0,0.21,0.20359185541066116,0.0,100,"{""co-hyponym"": 21, ""hypernym"": 78, ""unrelated"": 1}","{""co-hyponym"": 26, ""hypernym"": 15, ""unrelated"": 59}"
32,liar,0,0,0.27,0.11487050960735172,0.0,100,"{""false"": 91, ""true"": 9}","{""barely true"": 20, ""false"": 23, ""half true"": 12, ""mostly true"": 22, ""pants fire"": 4, ""true"": 19}"
33,limit,0,0,0.7,0.49186991869918695,0.0,100,"{""no"": 9, ""yes"": 91}","{""no"": 27, ""yes"": 73}"
34,logical_fallacy_detection,0,0,0.37,0.3464052287581699,0.0,100,"{""invalid"": 21, ""valid"": 79}","{""invalid"": 60, ""valid"": 40}"
35,metaphor_boolean,0,0,0.48,0.32432432432432434,0.0,100,"{""true"": 100}","{""false"": 52, ""true"": 48}"
36,mrpc,0,0,0.32,0.24242424242424243,0.0,100,"{""not equivalent"": 100}","{""equivalent"": 68, ""not equivalent"": 32}"
37,news_data,0,0,0.84,0.7351534834429158,0.0,100,"{""business"": 28, ""entertainment"": 4, ""health"": 11, ""politics"": 15, ""sports"": 41, ""tech"": 1}","{""business"": 30, ""entertainment"": 3, ""health"": 13, ""politics"": 19, ""sports"": 30, ""tech"": 5}"
38,poem_sentiment,0,0,0.55,0.32850889623681306,0.0,100,"{""negative"": 6, ""no impact"": 80, ""positive"": 14}","{""negative"": 19, ""no impact"": 66, ""positive"": 15}"
39,pragmeval_emergent,0,0,0.49,0.21923937360178972,0.0,100,"{""against"": 3, ""for"": 97}","{""against"": 14, ""for"": 52, ""observing"": 34}"
40,pragmeval_sarcasm,0,0,0.63,0.38650306748466257,0.0,100,"{""sarcasm"": 100}","{""not sarcasm"": 37, ""sarcasm"": 63}"
41,pragmeval_verifiability,0,0,0.75,0.379838485101643,0.0,100,"{""non-experiential"": 4, ""unverifiable"": 96}","{""experiential"": 15, ""non-experiential"": 10, ""unverifiable"": 75}"
42,prosocial_dialog,0,0,0.39,0.1545530492898914,0.0,100,"{""casual"": 1, ""caution needed"": 96, ""probably caution needed"": 3}","{""casual"": 18, ""caution needed"": 37, ""intervention needed"": 18, ""possibly caution needed"": 12, ""probably caution needed"": 15}"
43,pun_detection,0,0,0.6,0.375,0.0,100,"{""no"": 1, ""yes"": 99}","{""no"": 39, ""yes"": 61}"
44,qqp,0,0,0.52,0.49558638083228246,0.0,100,"{""duplicate"": 48, ""not duplicate"": 52}","{""duplicate"": 30, ""not duplicate"": 70}"
45,rotten_tomatoes,0,0,0.65,0.6178622120318812,0.0,100,"{""negative"": 20, ""positive"": 80}","{""negative"": 51, ""positive"": 49}"
